ID,GENENAME
ENSMUST00000120159.1,Gm6276
ENSMUST00000120160.1,Gm9105
ENSMUST00000120161.7,Myo5b
ENSMUST00000120162.1,Gm13875
ENSMUST00000120163.1,Gm15066
ENSMUST00000120164.1,Gm12014
ENSMUST00000120165.1,Gm11785
ENSMUST00000120166.1,Gm14912
ENSMUST00000120167.7,D3Ertd751e
ENSMUST00000120168.1,Gm13902
ENSMUST00000120170.1,Polr2k-ps
ENSMUST00000120171.1,Vmn1r-ps103
ENSMUST00000120172.1,Gm14805
ENSMUST00000120173.8,Snrk
ENSMUST00000120174.1,Gm8566
ENSMUST00000120175.1,Gm11830
ENSMUST00000120176.1,Gm11623
ENSMUST00000120177.7,Gstt1
ENSMUST00000120178.1,Gm12240
ENSMUST00000120179.1,Gm14883
ENSMUST00000120180.1,Gm12587
ENSMUST00000120181.1,Gm14301
ENSMUST00000120182.2,Gm15794
ENSMUST00000120183.1,Gm13590
ENSMUST00000120184.1,Amy2b
ENSMUST00000120185.1,Gm14785
ENSMUST00000120186.1,Gm12691
ENSMUST00000120187.8,Fgfr2
ENSMUST00000120189.1,Gm12074
ENSMUST00000120190.1,Gm13991
ENSMUST00000120191.1,Gm11824
ENSMUST00000120192.1,Gm9115
ENSMUST00000120193.7,Art3
ENSMUST00000120194.1,Fam104a
ENSMUST00000120195.1,Gm14712
ENSMUST00000120196.8,C2cd3
ENSMUST00000120197.1,Gm12502
ENSMUST00000120198.1,Gm14928
ENSMUST00000120199.1,Gm12969
ENSMUST00000120200.1,Gm11557
ENSMUST00000120201.7,Zmym3
ENSMUST00000120202.1,Gm14898
ENSMUST00000120203.1,Gm12933
ENSMUST00000120204.7,Adgrb2
ENSMUST00000120205.2,Gm13297
ENSMUST00000120206.1,Gm14687
ENSMUST00000120207.1,Gm12997
ENSMUST00000120208.1,Gm11796
ENSMUST00000120209.1,Gm11866
ENSMUST00000120210.1,Olfr1081-ps1
ENSMUST00000120211.1,Gm11504
ENSMUST00000120212.1,Gm15042
ENSMUST00000120213.8,Aktip
ENSMUST00000120214.1,Gm11480
ENSMUST00000120215.1,Gm11544
ENSMUST00000120216.1,Gm15781
ENSMUST00000120217.1,Gm13735
ENSMUST00000120219.2,Gm6587
ENSMUST00000120220.2,Zfp551
ENSMUST00000120221.1,Gm11764
ENSMUST00000120222.7,Zfp946
ENSMUST00000120223.7,Asxl3
ENSMUST00000120224.1,Gm15193
ENSMUST00000120225.1,Gm15331
ENSMUST00000120226.7,Cdk4
ENSMUST00000120227.1,Gm14238
ENSMUST00000120228.1,Gm12734
ENSMUST00000120229.7,Stmn4
ENSMUST00000120230.7,Mgst1
ENSMUST00000120231.1,Gm12461
ENSMUST00000120232.7,Hmox2
ENSMUST00000120233.1,Vcp-rs
ENSMUST00000120234.1,Gm12918
ENSMUST00000120235.1,Gm13338
ENSMUST00000120236.1,Gm14141
ENSMUST00000120238.1,Trim24
ENSMUST00000120239.7,Sirt1
ENSMUST00000120240.7,Nfu1
ENSMUST00000120241.1,Rpl17-ps4
ENSMUST00000120242.1,Gm13615
ENSMUST00000120243.7,Csf1
ENSMUST00000120245.1,Gm13323
ENSMUST00000120246.1,Gm12771
ENSMUST00000120247.7,Sik3
ENSMUST00000120248.1,Gm8401
ENSMUST00000120249.1,Gm12825
ENSMUST00000120250.1,Gm15703
ENSMUST00000120251.8,Serpina11
ENSMUST00000120252.1,Gm7571
ENSMUST00000120253.1,Gm14831
ENSMUST00000120254.1,Gm9109
ENSMUST00000120255.1,Gm12490
ENSMUST00000120256.1,Gm4992
ENSMUST00000120257.1,Tpt1-ps1
ENSMUST00000120258.1,Gm16420
ENSMUST00000120259.7,Map3k5
ENSMUST00000120260.1,Gm15784
ENSMUST00000120261.7,Camta2
ENSMUST00000120262.1,Syt3
ENSMUST00000120263.1,Gm13624
ENSMUST00000120264.3,Gm15481
ENSMUST00000120265.1,Matk
ENSMUST00000120266.1,Gm11387
ENSMUST00000120267.8,Atg16l2
ENSMUST00000120268.1,Gm1993
ENSMUST00000120269.10,Itih4
ENSMUST00000120270.7,Phka1
ENSMUST00000120271.1,Pou2f3-rs1
ENSMUST00000120272.7,Depdc1a
ENSMUST00000120273.1,Gm7700
ENSMUST00000120274.7,Plekhg1
ENSMUST00000120275.1,Hspe1-ps6
ENSMUST00000120276.8,Brd4
ENSMUST00000120277.1,Gm14860
ENSMUST00000120278.2,Gm11510
ENSMUST00000120279.1,Stat6
ENSMUST00000120280.1,Gm13751
ENSMUST00000120281.7,Mmp11
ENSMUST00000120282.1,Ak3l2-ps
ENSMUST00000120283.1,Gm14927
ENSMUST00000120284.7,N6amt1
ENSMUST00000120285.7,Sec11a
ENSMUST00000120286.1,Cmc4
ENSMUST00000120287.1,Gm11533
ENSMUST00000120288.1,Vmn1r-ps120
ENSMUST00000120289.2,Pfn2
ENSMUST00000120290.1,Gm6142
ENSMUST00000120291.1,Glns-ps1
ENSMUST00000120292.7,Adgrl3
ENSMUST00000120293.1,Gm9166
ENSMUST00000120294.2,Gm11371
ENSMUST00000120295.2,Gm15028
ENSMUST00000120297.1,Gm11546
ENSMUST00000120298.1,Gm13347
ENSMUST00000120299.3,Syngr4
ENSMUST00000120300.1,Gm14704
ENSMUST00000120301.7,Farp2
ENSMUST00000120302.7,Mgst1
ENSMUST00000120303.8,Olfr1
ENSMUST00000120304.1,Gm14900
ENSMUST00000120306.7,Urgcp
ENSMUST00000120307.1,Gm14394
ENSMUST00000120308.1,Rps10-ps4
ENSMUST00000120309.1,Gm14746
ENSMUST00000120310.1,Ddah1
ENSMUST00000120311.1,Gm12266
ENSMUST00000120312.1,Gm12304
ENSMUST00000120313.1,Gm5384
ENSMUST00000120314.7,Dmrtc1c2
ENSMUST00000120315.1,Gm9378
ENSMUST00000120316.7,4930402H24Rik
ENSMUST00000120317.2,Sult2a-ps1
ENSMUST00000120318.1,Gm13493
ENSMUST00000120320.7,Hsd17b13
ENSMUST00000120322.7,Slc6a19
ENSMUST00000120323.1,Gm15390
ENSMUST00000120324.1,Gm14725
ENSMUST00000120325.1,Gm7916
ENSMUST00000120326.1,Gm13928
ENSMUST00000120327.2,Tmem175
ENSMUST00000120328.1,Gm13729
ENSMUST00000120330.1,Gm11398
ENSMUST00000120331.3,Isg20
ENSMUST00000120332.1,Gm14392
ENSMUST00000120333.7,Pdia2
ENSMUST00000120334.1,Vamp7-ps
ENSMUST00000120335.1,Gm12044
ENSMUST00000120336.1,Adamts14
ENSMUST00000120338.1,Gm15483
ENSMUST00000120339.7,Inava
ENSMUST00000120340.1,9430038I01Rik
ENSMUST00000120341.1,Gm12897
ENSMUST00000120342.1,Gm14656
ENSMUST00000120343.1,Gm14984
ENSMUST00000120344.7,Fbxo7
ENSMUST00000120345.1,Fyttd1
ENSMUST00000120346.8,BC004004
ENSMUST00000120347.1,Gm14939
ENSMUST00000120348.1,Gm12123
ENSMUST00000120349.7,Aktip
ENSMUST00000120350.1,Rpl23a-ps13
ENSMUST00000120351.1,Gm12312
ENSMUST00000120352.2,Gm5555
ENSMUST00000120353.1,Gm14240
ENSMUST00000120354.1,Gm15305
ENSMUST00000120355.7,Itgam
ENSMUST00000120356.7,Araf
ENSMUST00000120357.1,Gm9974
ENSMUST00000120358.1,Gm15037
ENSMUST00000120359.1,Gm12104
ENSMUST00000120360.1,Rpl10a-ps1
ENSMUST00000120361.2,Olfr1004-ps1
ENSMUST00000120362.1,Gm11407
ENSMUST00000120363.1,Hoxa1
ENSMUST00000120364.1,Dancr
ENSMUST00000120365.1,Gm15791
ENSMUST00000120366.1,Gm14881
ENSMUST00000120367.7,Acad8
ENSMUST00000120368.2,Gm15465
ENSMUST00000120369.1,Gm15712
ENSMUST00000120371.1,Gm12884
ENSMUST00000120372.1,Gm12990
ENSMUST00000120373.1,Gm13532
ENSMUST00000120374.7,Cdkl3
ENSMUST00000120375.7,Itga3
ENSMUST00000120376.2,Gm13315
ENSMUST00000120377.7,Lmna
ENSMUST00000120378.1,Rpl27-ps2
ENSMUST00000120379.1,Gm9435
ENSMUST00000120380.2,Olfr337-ps1
ENSMUST00000120381.8,Stt3a
ENSMUST00000120382.1,Tpi-rs8
ENSMUST00000120383.1,Gm12877
ENSMUST00000120384.1,Rpl7a-ps12
ENSMUST00000120385.1,Gm16200
ENSMUST00000120386.2,Olfr637-ps1
ENSMUST00000120387.1,Gm12654
ENSMUST00000120388.8,Il33
ENSMUST00000120389.7,Snx12
ENSMUST00000120390.1,Mup-ps19
ENSMUST00000120391.1,Gm13506
ENSMUST00000120392.1,Gm4773
ENSMUST00000120394.7,Gm49333
ENSMUST00000120395.1,Gm4746
ENSMUST00000120396.1,Gm14331
ENSMUST00000120397.7,Bdh2
ENSMUST00000120398.1,C920021L13Rik
ENSMUST00000120399.1,Gm16445
ENSMUST00000120400.1,Gm14650
ENSMUST00000120401.8,Olfr376
ENSMUST00000120402.1,Gm13118
ENSMUST00000120403.1,Gm6184
ENSMUST00000120404.1,Gm13967
ENSMUST00000120405.3,Nrip2
ENSMUST00000120406.3,Gm15554
ENSMUST00000120407.1,Gm14591
ENSMUST00000120408.1,Gm14428
ENSMUST00000120410.1,Gm12543
ENSMUST00000120411.8,Fam107a
ENSMUST00000120412.1,Gm11901
ENSMUST00000120413.1,Gm11605
ENSMUST00000120414.1,Gm14219
ENSMUST00000120415.7,Myl1
ENSMUST00000120416.7,Art3
ENSMUST00000120417.7,Top3a
ENSMUST00000120418.1,Gm13436
ENSMUST00000120419.1,Gm13488
ENSMUST00000120420.1,Scn5a
ENSMUST00000120421.1,Gm15387
ENSMUST00000120422.1,Gm13787
ENSMUST00000120423.1,Gm9083
ENSMUST00000120424.1,Gm14739
ENSMUST00000120425.7,Eef1akmt2
ENSMUST00000120426.8,Aktip
ENSMUST00000120427.1,Gm11448
ENSMUST00000120428.7,Trim24
ENSMUST00000120429.7,Spink2
ENSMUST00000120430.1,Gm7901
ENSMUST00000120431.1,Gm12846
ENSMUST00000120432.2,Mlkl
ENSMUST00000120433.1,Gm11793
ENSMUST00000120434.1,Vmn1r-ps132
ENSMUST00000120435.1,Gm12482
ENSMUST00000120436.1,Gm10601
ENSMUST00000120437.1,Atp5k-ps2
ENSMUST00000120438.1,Gm15368
ENSMUST00000120439.1,Gm16480
ENSMUST00000120440.1,Gm12308
ENSMUST00000120441.7,Plekha1
ENSMUST00000120442.1,Gm15480
ENSMUST00000120443.1,Gm11676
ENSMUST00000120444.1,Gemin6-ps
ENSMUST00000120445.7,Adgrl3
ENSMUST00000120447.7,Blzf1
ENSMUST00000120448.1,Gm11255
ENSMUST00000120449.1,Gm15225
ENSMUST00000120450.1,Gart
ENSMUST00000120451.1,Gm13332
ENSMUST00000120452.7,Dnaja4
ENSMUST00000120453.1,Gm15194
ENSMUST00000120454.2,Coa4
ENSMUST00000120455.1,Gm14269
ENSMUST00000120456.1,Gm14884
ENSMUST00000120457.1,Adat1
ENSMUST00000120458.1,Gm7071
ENSMUST00000120460.1,Gm12136
ENSMUST00000120461.8,Lman1
ENSMUST00000120462.1,Gm6062
ENSMUST00000120463.8,Sik3
ENSMUST00000120464.1,Gm8051
ENSMUST00000120465.1,Gm11224
ENSMUST00000120466.1,Gm13217
ENSMUST00000120467.1,Gm13537
ENSMUST00000120468.1,Gm9208
ENSMUST00000120469.1,Gm14599
ENSMUST00000120470.1,Gm15693
ENSMUST00000120471.1,Gm11888
ENSMUST00000120472.1,Afap1l1
ENSMUST00000120473.7,Czib
ENSMUST00000120474.1,Gm15049
ENSMUST00000120475.7,Peli3
ENSMUST00000120476.1,Gm13559
ENSMUST00000120477.1,Gm7113
ENSMUST00000120478.1,Gm5405
ENSMUST00000120479.1,Gm12042
ENSMUST00000120480.1,Gm14619
ENSMUST00000120481.1,M6pr-ps
ENSMUST00000120482.1,Gm13574
ENSMUST00000120483.1,Gm14008
ENSMUST00000120484.7,Slc7a12
ENSMUST00000120485.2,Olfr990-ps1
ENSMUST00000120486.2,Gm13754
ENSMUST00000120487.1,Gm12229
ENSMUST00000120488.2,Klhl22
ENSMUST00000120489.1,Gm16100
ENSMUST00000120490.7,Abca16
ENSMUST00000120491.1,Gm15177
ENSMUST00000120492.1,Gm15926
ENSMUST00000120493.7,Gse1
ENSMUST00000120494.1,Gm14395
ENSMUST00000120495.1,Cox17
ENSMUST00000120497.1,Gm14989
ENSMUST00000120498.7,Ythdc1
ENSMUST00000120499.1,Gm15393
ENSMUST00000120501.1,Gm15224
ENSMUST00000120502.1,Gm14998
ENSMUST00000120503.3,Gm11298
ENSMUST00000120504.1,Gm12124
ENSMUST00000120506.7,Crybb3
ENSMUST00000120507.1,Gm12961
ENSMUST00000120508.7,Celf5
ENSMUST00000120509.7,Sgk1
ENSMUST00000120511.1,Gm16053
ENSMUST00000120512.7,Mdfic
ENSMUST00000120513.1,Gm15842
ENSMUST00000120514.1,Gm9097
ENSMUST00000120515.2,Gm16005
ENSMUST00000120518.3,Olfr1192-ps1
ENSMUST00000120519.2,Gm13350
ENSMUST00000120520.7,Acer3
ENSMUST00000120521.1,Gm14434
ENSMUST00000120522.7,Slc22a26
ENSMUST00000120523.1,Gng2-ps1
ENSMUST00000120524.1,Tmem132a
ENSMUST00000120525.1,Gm11622
ENSMUST00000120526.1,Gm15197
ENSMUST00000120527.1,Gm16463
ENSMUST00000120528.1,Gm13357
ENSMUST00000120531.7,Stxbp6
ENSMUST00000120532.8,Hira
ENSMUST00000120533.1,Gm11522
ENSMUST00000120534.1,Gm12599
ENSMUST00000120535.7,Auh
ENSMUST00000120536.1,Gm12402
ENSMUST00000120537.7,Bcl3
ENSMUST00000120538.1,Gm12376
ENSMUST00000120539.7,Lmo4
ENSMUST00000120540.1,Slc22a30
ENSMUST00000120541.7,Hmgcs2
ENSMUST00000120542.7,Mettl1
ENSMUST00000120544.8,Klc1
ENSMUST00000120545.1,Gm12178
ENSMUST00000120546.1,Gm12686
ENSMUST00000120547.1,Tsfm
ENSMUST00000120548.1,Tpt1-ps2
ENSMUST00000120549.1,Fuca2
ENSMUST00000120550.1,Srp72
ENSMUST00000120551.1,Gm11945
ENSMUST00000120552.1,Gm15136
ENSMUST00000120553.1,Gm15160
ENSMUST00000120554.1,Gm11259
ENSMUST00000120555.7,Dpp6
ENSMUST00000120556.1,Gm13080
ENSMUST00000120557.1,Rpl3-ps1
ENSMUST00000120558.1,Gm13992
ENSMUST00000120559.1,Gm8668
ENSMUST00000120560.1,Gm11223
ENSMUST00000120561.1,Gm12991
ENSMUST00000120562.1,Gm11904
ENSMUST00000120563.1,Ptger4
ENSMUST00000120564.1,Igfbp2
ENSMUST00000120565.1,Gm12899
ENSMUST00000120566.1,Gm12183
ENSMUST00000120567.1,Gm15062
ENSMUST00000120568.1,Gm5646
ENSMUST00000120569.2,Gm15815
ENSMUST00000120570.1,4930448K20Rik
ENSMUST00000120571.1,Gm14563
ENSMUST00000120572.1,Gm11252
ENSMUST00000120573.2,Arsk
ENSMUST00000120576.1,Gm14037
ENSMUST00000120577.1,Gm15158
ENSMUST00000120578.1,Gm14215
ENSMUST00000120579.1,Gm11343
ENSMUST00000120580.7,Prpf39
ENSMUST00000120581.1,Gm12307
ENSMUST00000120582.1,Gm15467
ENSMUST00000120583.1,Gm11370
ENSMUST00000120584.1,Gm15610
ENSMUST00000120585.7,Mthfd1l
ENSMUST00000120586.1,Chaf1b
ENSMUST00000120587.1,Vmn1r-ps106
ENSMUST00000120588.7,Lrrc18
ENSMUST00000120589.7,Pcnx2
ENSMUST00000120590.1,Gm13740
ENSMUST00000120591.7,Pisd
ENSMUST00000120592.1,Pvalb
ENSMUST00000120593.4,Bcl7a
ENSMUST00000120594.7,Cadm2
ENSMUST00000120595.7,Eml2
ENSMUST00000120596.1,Rpsa-ps12
ENSMUST00000120597.1,Gm12808
ENSMUST00000120598.2,Olfr1191-ps1
ENSMUST00000120599.1,Gm14605
ENSMUST00000120600.1,Gm13616
ENSMUST00000120601.1,Gm11637
ENSMUST00000120602.1,Gm15120
ENSMUST00000120603.1,Gm14465
ENSMUST00000120604.1,Gm6446
ENSMUST00000120605.7,Sval2
ENSMUST00000120606.1,Gm12716
ENSMUST00000120607.1,Gm13525
ENSMUST00000120608.1,Atf1-ps
ENSMUST00000120609.1,Gm13161
ENSMUST00000120610.1,Vmn1r-ps100
ENSMUST00000120611.1,Gm14925
ENSMUST00000120613.8,Kif3a
ENSMUST00000120614.1,Gm13877
ENSMUST00000120615.1,Gm14528
ENSMUST00000120616.1,Gm13675
ENSMUST00000120617.1,Gm13396
ENSMUST00000120618.5,Fip1l1
ENSMUST00000120619.1,Gm15719
ENSMUST00000120620.7,Zc4h2
ENSMUST00000120621.1,Gm12721
ENSMUST00000120622.1,Dixdc1
ENSMUST00000120623.1,Gm14726
ENSMUST00000120624.1,AU015836
ENSMUST00000120625.1,Gm14026
ENSMUST00000120626.1,Gm12922
ENSMUST00000120627.1,Gm8215
ENSMUST00000120628.1,Gm12383
ENSMUST00000120629.1,Gm6640
ENSMUST00000120630.2,Amz1
ENSMUST00000120631.1,Gm14057
ENSMUST00000120632.1,Ppp2r2b
ENSMUST00000120633.1,Fmnl3
ENSMUST00000120635.1,Gm11835
ENSMUST00000120636.1,Gm11584
ENSMUST00000120637.1,Gm13121
ENSMUST00000120638.7,Syn3
ENSMUST00000120639.8,C530008M17Rik
ENSMUST00000120640.1,Gm11792
ENSMUST00000120641.2,Gm15925
ENSMUST00000120642.8,D930020B18Rik
ENSMUST00000120644.1,Gm14574
ENSMUST00000120645.7,Gsto2
ENSMUST00000120646.2,Gm7722
ENSMUST00000120647.1,Gm11839
ENSMUST00000120648.1,5730416F02Rik
ENSMUST00000120649.1,Olfr405-ps1
ENSMUST00000120650.1,Gm14926
ENSMUST00000120651.1,Gm13339
ENSMUST00000120652.1,Gm12880
ENSMUST00000120653.7,Kcnu1
ENSMUST00000120654.7,Csf1
ENSMUST00000120655.7,Mmp12
ENSMUST00000120656.1,Gm14620
ENSMUST00000120657.1,Gm12201
ENSMUST00000120658.1,Gm13622
ENSMUST00000120659.1,Gm12459
ENSMUST00000120660.1,Gm11498
ENSMUST00000120661.1,Gm9159
ENSMUST00000120662.1,Mup-ps13
ENSMUST00000120663.1,Vmn1r-ps102
ENSMUST00000120664.7,Pde4d
ENSMUST00000120666.1,Gm5287
ENSMUST00000120667.1,Riox2
ENSMUST00000120668.1,Gm13633
ENSMUST00000120670.1,Gm14360
ENSMUST00000120671.7,Pde4d
ENSMUST00000120672.7,Ercc8
ENSMUST00000120673.7,Adgrl3
ENSMUST00000120674.7,Riox2
ENSMUST00000120675.1,Gm13581
ENSMUST00000120676.1,Gm12712
ENSMUST00000120677.1,Gm12583
ENSMUST00000120678.1,Adamtsl1
ENSMUST00000120679.7,Ccnc
ENSMUST00000120680.1,Tfrc
ENSMUST00000120681.2,Olfr1274
ENSMUST00000120682.1,Gm11553
ENSMUST00000120683.7,Hdac7
ENSMUST00000120684.1,Gm15746
ENSMUST00000120685.1,Gm16179
ENSMUST00000120686.1,Mup-ps28
ENSMUST00000120688.5,1700016H13Rik
ENSMUST00000120689.7,Nek1
ENSMUST00000120690.1,Tmem30a
ENSMUST00000120691.8,Rab11fip3
ENSMUST00000120692.1,Gm8545
ENSMUST00000120693.1,Gm12431
ENSMUST00000120694.2,Rpl15-ps1
ENSMUST00000120695.1,Defa-ps13
ENSMUST00000120696.1,Gm15806
ENSMUST00000120697.7,Scamp3
ENSMUST00000120699.7,Timm22
ENSMUST00000120700.1,Gm12723
ENSMUST00000120701.1,Gm1866
ENSMUST00000120702.1,Rpsa-ps9
ENSMUST00000120703.1,Gm15044
ENSMUST00000120704.1,Olfr360
ENSMUST00000120705.2,Tbc1d10b
ENSMUST00000120706.1,Gm11606
ENSMUST00000120707.1,Fopnl
ENSMUST00000120709.7,Kcnt2
ENSMUST00000120710.1,Gm11825
ENSMUST00000120711.1,Gm1848
ENSMUST00000120712.1,Gm6292
ENSMUST00000120713.2,Gm14585
ENSMUST00000120714.1,Pdcd5
ENSMUST00000120715.7,Fgfr2
ENSMUST00000120716.1,Hmgn2-ps1
ENSMUST00000120717.7,Capn11
ENSMUST00000120718.1,Akt2-ps
ENSMUST00000120719.1,Gm14752
ENSMUST00000120720.1,Mup-ps1
ENSMUST00000120721.8,Eif4enif1
ENSMUST00000120722.1,2610002M06Rik
ENSMUST00000120723.1,Mup-ps17
ENSMUST00000120724.2,Gm12607
ENSMUST00000120725.1,Ankle1
ENSMUST00000120726.2,Olfr1379-ps1
ENSMUST00000120727.1,Gm15937
ENSMUST00000120728.1,Gm16177
ENSMUST00000120729.1,Gm15372
ENSMUST00000120730.1,Gm15220
ENSMUST00000120731.1,Gm12479
ENSMUST00000120732.7,Chchd7
ENSMUST00000120733.7,Ninj1
ENSMUST00000120734.1,Gm5934
ENSMUST00000120735.1,Gm5883
ENSMUST00000120737.7,Mrps10
ENSMUST00000120738.1,Gm13484
ENSMUST00000120739.1,Gm13677
ENSMUST00000120740.2,Gm15314
ENSMUST00000120741.1,Gm13720
ENSMUST00000120742.1,Gm15014
ENSMUST00000120744.1,Gm14054
ENSMUST00000120745.1,Gm9143
ENSMUST00000120746.7,Ncald
ENSMUST00000120747.1,Gm14915
ENSMUST00000120748.1,Mgat4c
ENSMUST00000120749.1,Gm15163
ENSMUST00000120750.1,Gm13801
ENSMUST00000120751.1,Gm11556
ENSMUST00000120752.1,Gm3835
ENSMUST00000120753.2,Furin
ENSMUST00000120754.1,Acvrl1
ENSMUST00000120755.2,Olfr1069-ps1
ENSMUST00000120756.7,Sema5b
ENSMUST00000120757.1,Slc5a4b
ENSMUST00000120758.1,Gm11543
ENSMUST00000120759.1,Gm2005
ENSMUST00000120760.7,Dis3l
ENSMUST00000120761.1,Gm7823
ENSMUST00000120762.1,Gm8172
ENSMUST00000120763.1,Gm12748
ENSMUST00000120764.1,Gm5742
ENSMUST00000120765.1,Gm17014
ENSMUST00000120766.1,Gm11689
ENSMUST00000120767.1,Gm13788
ENSMUST00000120768.1,Gm8876
ENSMUST00000120770.1,Glo1-ps
ENSMUST00000120771.1,Gm13557
ENSMUST00000120773.1,Gm14070
ENSMUST00000120774.1,Gm13692
ENSMUST00000120775.1,Vmn1r-ps92
ENSMUST00000120776.7,Gm12216
ENSMUST00000120777.1,Gm14741
ENSMUST00000120778.7,Sufu
ENSMUST00000120779.7,Nfyc
ENSMUST00000120780.1,Gm13341
ENSMUST00000120781.7,Art3
ENSMUST00000120782.1,Gm13517
ENSMUST00000120783.1,Olfr269-ps1
ENSMUST00000120784.7,Trafd1
ENSMUST00000120785.1,Nsa2-ps2
ENSMUST00000120786.1,Gm12006
ENSMUST00000120787.1,Gm6222
ENSMUST00000120788.1,Gm12791
ENSMUST00000120789.7,Gnpda2
ENSMUST00000120790.1,Gm15166
ENSMUST00000120791.1,Gm6823
ENSMUST00000120792.1,Gm13259
ENSMUST00000120793.1,3110067C02Rik
ENSMUST00000120794.7,Ints11
ENSMUST00000120795.1,Gm14876
ENSMUST00000120796.7,Kcnt2
ENSMUST00000120797.1,Gm378
ENSMUST00000120798.7,Zfp473
ENSMUST00000120799.1,Gm11786
ENSMUST00000120800.1,Gm14300
ENSMUST00000120801.1,Slc7a12
ENSMUST00000120802.1,Gm14551
ENSMUST00000120803.1,Gm14911
ENSMUST00000120804.1,Gm14186
ENSMUST00000120805.7,Dnajc19
ENSMUST00000120806.1,Gm11852
ENSMUST00000120807.1,Gm8084
ENSMUST00000120808.7,Dmrtc1a
ENSMUST00000120809.1,Zscan22
ENSMUST00000120811.1,Gm16057
ENSMUST00000120812.1,Gm11369
ENSMUST00000120813.1,Cyp4a30-ps
ENSMUST00000120814.1,Gm11474
ENSMUST00000120815.1,Gm14069
ENSMUST00000120816.1,Gm13328
ENSMUST00000120817.1,Gm7212
ENSMUST00000120818.7,C530008M17Rik
ENSMUST00000120819.1,Gm12516
ENSMUST00000120820.2,Xkr6
ENSMUST00000120821.1,Rpl9-ps2
ENSMUST00000120822.1,Prelid3b
ENSMUST00000120823.1,Prkaca-ps1
ENSMUST00000120824.2,Gm15550
ENSMUST00000120825.1,Grid2ip
ENSMUST00000120826.1,Impdh2-ps
ENSMUST00000120827.8,Hopx
ENSMUST00000120828.1,Gm13494
ENSMUST00000120829.1,Gm12329
ENSMUST00000120830.1,Gm13665
ENSMUST00000120831.1,Gm16016
ENSMUST00000120832.1,Gm15182
ENSMUST00000120833.1,Gm14414
ENSMUST00000120834.7,Pld1
ENSMUST00000120836.7,Brsk1
ENSMUST00000120837.1,Lyzl1
ENSMUST00000120838.1,Rps18-ps1
ENSMUST00000120839.1,Gm14919
ENSMUST00000120840.1,Gm15595
ENSMUST00000120842.1,Gm8152
ENSMUST00000120843.1,Nlk-ps1
ENSMUST00000120844.1,Gm13867
ENSMUST00000120845.1,Gm14531
ENSMUST00000120846.1,Gm12105
ENSMUST00000120847.7,Lrrc8d
ENSMUST00000120848.1,Gm14065
ENSMUST00000120849.1,Gm13578
ENSMUST00000120850.1,Gm14639
ENSMUST00000120851.1,Gm13576
ENSMUST00000120852.7,Josd2
ENSMUST00000120853.1,Gm11400
ENSMUST00000120854.7,Acad11
ENSMUST00000120855.1,Gm15190
ENSMUST00000120856.7,Celf5
ENSMUST00000120857.7,Itgal
ENSMUST00000120859.7,Csnk1e
ENSMUST00000120860.1,Gm12504
ENSMUST00000120861.7,Zfp455
ENSMUST00000120862.1,Slc39a1-ps
ENSMUST00000120863.1,Gm12086
ENSMUST00000120864.9,Bcat2
ENSMUST00000120865.1,Gm15272
ENSMUST00000120866.7,Lrrc18
ENSMUST00000120867.7,Qdpr
ENSMUST00000120868.1,Gm14489
ENSMUST00000120869.5,Rint1
ENSMUST00000120870.1,Gm13230
ENSMUST00000120871.1,Gm13281
ENSMUST00000120872.1,Gm11404
ENSMUST00000120873.1,Gm13932
ENSMUST00000120874.4,Defa33
ENSMUST00000120875.7,Ankrd50
ENSMUST00000120876.1,Ric3
ENSMUST00000120877.1,Gm7365
ENSMUST00000120878.8,Septin8
ENSMUST00000120879.7,Pgap2
ENSMUST00000120880.1,Gm11246
ENSMUST00000120881.2,Gm14875
ENSMUST00000120882.1,Cyp4a29-ps1
ENSMUST00000120885.1,Gm12890
ENSMUST00000120886.1,Gm13882
ENSMUST00000120887.1,Gm12486
ENSMUST00000120888.1,Gm15267
ENSMUST00000120890.1,Dnajc19-ps
ENSMUST00000120891.1,Gm13353
ENSMUST00000120892.1,Gm14601
ENSMUST00000120893.1,Gm5389
ENSMUST00000120894.1,Gm13117
ENSMUST00000120896.1,Gm13452
ENSMUST00000120897.2,Olfr336-ps1
ENSMUST00000120898.7,Cadm2
ENSMUST00000120899.1,Gm15799
ENSMUST00000120900.7,Mmp27
ENSMUST00000120901.1,Gm11585
ENSMUST00000120902.7,Depdc5
ENSMUST00000120903.7,Slc27a5
ENSMUST00000120904.7,Hecw2
ENSMUST00000120905.1,Gm12180
ENSMUST00000120906.1,Gm12093
ENSMUST00000120908.1,Gm11388
ENSMUST00000120909.1,Vmn1r-ps135
ENSMUST00000120911.1,Gm12416
ENSMUST00000120912.7,Paics
ENSMUST00000120913.1,Gm11658
ENSMUST00000120914.2,Trav4d-2
ENSMUST00000120915.1,Gm12400
ENSMUST00000120916.1,Gm6783
ENSMUST00000120917.1,Gm11502
ENSMUST00000120918.7,Lyzl4
ENSMUST00000120919.1,Gm12900
ENSMUST00000120920.1,Gm15801
ENSMUST00000120921.1,Gm14125
ENSMUST00000120922.1,Gm15027
ENSMUST00000120923.1,Gm11809
ENSMUST00000120925.1,Gm7327
ENSMUST00000120926.1,Gm9060
ENSMUST00000120927.7,Acot3
ENSMUST00000120928.1,Syngr2
ENSMUST00000120929.8,Tsks
